#{"t_start": 1764343590.976322, "env_id": "None"}
r,l,t
-421.866231,150,4.561096
-410.36569,150,6.233563
-415.087469,150,7.824098
-429.536749,150,9.420917
-393.623834,150,11.02496
-423.496337,150,12.618176
-430.320851,150,14.248524
-395.353784,150,15.818435
-425.541332,150,17.421568
-437.949071,150,19.017365
-419.76843,150,20.689418
-443.686031,150,22.416153
-433.121679,150,24.172369
-405.886221,150,72.203884
-421.027399,150,73.995395
-424.472345,150,75.719458
-431.446784,150,77.469431
-415.618284,150,79.191
-425.263645,150,80.951222
-427.203693,150,82.733624
-432.812189,150,84.449617
-433.057469,150,86.244413
-435.361469,150,88.034611
-402.228319,150,89.879751
-428.309693,150,91.762432
-439.082814,150,93.547013
-397.429747,150,95.324193
-432.431129,150,144.597975
-429.867803,150,146.381177
-425.528036,150,148.147159
-395.682418,150,149.901484
-407.284619,150,151.696392
-383.765249,150,153.397931
-442.607955,150,155.209527
-432.42029,150,156.981505
-447.501597,150,158.722926
-425.052282,150,160.485403
-445.20388,150,162.316824
-399.247242,150,164.098474
-423.118968,150,165.821261
-398.491893,150,216.50639
-429.387601,150,218.29039
-422.659861,150,220.078611
-422.43578,150,221.831075
-422.838363,150,223.571424
-409.670356,150,225.361385
-419.178388,150,227.150406
-437.113669,150,228.918568
-429.850612,150,230.717565
-426.737056,150,232.537707
-439.540301,150,234.311473
-404.956929,150,236.088065
-398.406189,150,237.897139
-434.276539,150,239.694913
-402.651177,150,289.538614
-413.078851,150,291.283139
-431.036924,150,292.998513
-442.85954,150,294.810721
-433.212929,150,296.532432
-398.531431,150,298.295434
-431.59311,150,300.047445
-447.402421,150,301.820995
-425.588942,150,303.531794
-421.282975,150,305.313387
-445.697897,150,307.125923
-421.791261,150,308.864627
-430.334563,150,310.627939
-451.860344,150,312.423934
-406.861243,150,362.763081
-415.324068,150,364.550499
-425.919054,150,366.383498
-406.787435,150,368.153011
-435.732921,150,369.93842
-413.022116,150,371.757641
-396.283951,150,373.559306
-408.834858,150,375.403145
-412.615137,150,377.258453
-409.062963,150,379.084556
-426.207242,150,380.867818
-439.870317,150,382.696169
-433.887387,150,384.46251
-439.733815,150,433.903287
-429.533247,150,435.712396
-406.829552,150,437.419432
-404.609454,150,439.226846
-399.602149,150,440.984653
-422.971297,150,442.721458
-412.68292,150,444.433254
-375.295032,150,446.187834
-421.277826,150,447.922427
-401.020423,150,449.666772
-421.11747,150,451.492912
-416.9717,150,453.267942
-426.684901,150,455.039998
-394.842654,150,456.838629
-434.782472,150,504.550548
-413.652087,150,506.374633
-411.327328,150,508.179924
-423.979569,150,509.926705
-426.321986,150,511.697388
-404.34068,150,513.467982
-393.897627,150,515.246963
-404.61175,150,517.020839
-404.387089,150,518.819052
-398.51323,150,520.626354
-402.524162,150,522.384008
-396.595056,150,524.165319
-402.369302,150,525.930204
-419.188219,150,527.70679
-388.382485,150,577.926752
-387.297203,150,579.728458
-401.992989,150,581.532534
-405.264413,150,583.314564
-400.619964,150,585.163135
-396.538021,150,586.992234
-378.878629,150,588.754586
-394.903262,150,590.548366
-398.392045,150,592.365195
-397.841052,150,594.103083
-393.871952,150,595.866002
-402.258166,150,597.612123
-379.269891,150,599.388026
