#{"t_start": 1764333073.457319, "env_id": "None"}
r,l,t
-47.04812,150,12.354006
-10.96007,55,13.808462
-44.247573,150,53.384378
-6.346726,40,54.452373
-28.313051,114,57.368477
-45.80469,150,97.924078
-71.529465,150,138.814768
-49.044872,150,142.849556
-40.809856,150,183.553487
-44.598555,150,187.4809
-40.897767,150,228.912478
-50.853201,150,269.201419
-72.039383,150,273.195656
-16.657864,56,274.764488
-84.51003,150,315.257652
-15.409871,59,316.78813
-51.452013,150,357.436295
-53.702483,150,361.421542
-14.83463,56,400.438012
-51.43084,150,404.332067
-15.861029,64,406.022777
-44.910932,150,446.194603
-51.25067,150,486.248542
-72.857321,150,490.203727
-48.145214,150,529.748933
-63.149151,150,533.558269
-63.843094,150,572.993601
-48.606928,150,613.284632
-68.509181,150,617.241959
-10.976862,45,618.593862
-91.133389,150,658.973714
-48.415703,150,662.803576
-88.477339,150,702.988666
-47.805216,150,743.173321
-5.279361,31,744.050905
-77.470455,150,747.968208
-8.776815,58,786.335565
-79.203205,150,790.564625
-41.49605,150,830.950103
-52.409872,150,834.782806
-34.492796,150,875.070705
-61.498524,150,916.659072
-7.732612,38,917.88317
-31.648921,150,922.309136
-8.151602,41,923.448866
-68.860163,150,966.016499
-55.143832,150,1009.074591
-79.458127,150,1013.632991
-5.446719,33,1014.691184
-5.440167,30,1015.585662
-60.97426,150,1057.492922
-66.55996,150,1099.209797
-80.214046,150,1103.622569
-56.051207,150,1145.396666
-70.620873,150,1149.27773
-63.13135,150,1190.647144
-5.770356,31,1191.599337
-6.699644,37,1192.705958
-61.380697,150,1233.947262
-63.280349,150,1237.707876
-48.712081,150,1277.137257
-67.518159,150,1316.868297
-40.913311,150,1320.627362
-50.784319,150,1360.090228
-51.336519,150,1363.825274
-42.66583,150,1402.977774
-6.744134,35,1403.896333
-49.79737,150,1443.040179
-45.570026,150,1446.782928
-40.823883,150,1486.063781
-40.757454,150,1489.835765
-41.277318,150,1529.055308
-40.526945,150,1568.597266
-2.751294,27,1569.323483
-44.425215,150,1573.066498
-5.677231,32,1573.912647
-8.095479,36,1574.833302
-5.281596,33,1611.099234
-60.496053,150,1614.845298
-5.623912,33,1615.714424
-5.344777,32,1616.551279
-5.947768,42,1653.13134
-50.715637,150,1657.46633
-44.547774,150,1698.326439
-50.616604,150,1702.066884
-41.172743,150,1742.243811
-42.765621,150,1782.576847
-42.957831,150,1786.542295
-3.647183,27,1787.303275
-74.725606,150,1827.554924
-49.011172,150,1831.362944
-55.403714,150,1872.01953
-45.01285,150,1913.710912
-5.257959,35,1914.665799
-9.329834,55,1916.120675
-5.726729,38,1917.173018
-42.900714,150,1958.57608
-50.63004,150,1962.681605
-44.409492,150,2003.629664
-48.278363,150,2007.590755
-5.404423,33,2044.585299
-83.593186,150,2048.400619
-5.9867,35,2049.351154
-55.264051,150,2089.913997
-4.891232,33,2090.802527
-4.507265,28,2091.710494
-5.010621,30,2092.632564
-49.07369,150,2135.532456
-54.318299,150,2139.461255
-58.471654,150,2182.005662
-54.235336,150,2221.956392
-38.071474,150,2226.194189
-65.606166,150,2266.575868
-68.708083,150,2270.46249
-51.879788,150,2310.613523
-4.142668,29,2311.399083
-4.180315,29,2312.183083
-5.026009,31,2312.999455
-3.907051,27,2313.719476
-47.244213,150,2354.236082
-4.968332,32,2355.099904
-43.849672,150,2395.707087
-52.682127,150,2399.660114
-5.168046,31,2400.525477
-42.80634,150,2442.440037
-43.976971,150,2482.67823
-3.069076,26,2483.408051
-35.422303,150,2487.234421
-3.968357,30,2488.127055
-3.442102,28,2488.862537
-49.206477,150,2529.285944
-4.152355,28,2530.060911
-43.234419,150,2571.861479
-56.147509,150,2575.826171
-3.840639,35,2576.754302
-3.448598,27,2614.595023
-3.54124,28,2615.362948
-49.42267,150,2619.137285
-55.781348,150,2658.786604
-57.038998,150,2662.590008
-49.082519,150,2702.263537
-3.611678,30,2703.080999
-6.162944,31,2703.904103
-70.942687,150,2746.916566
-48.944445,150,2751.6765
-48.997645,150,2796.974082
-5.959883,43,2798.296566
-6.351418,34,2799.330613
-4.111713,29,2800.224076
-45.765191,150,2841.342638
-4.481719,38,2842.374121
-4.44329,31,2843.203577
-45.377524,150,2884.160695
-3.898206,28,2884.957646
-72.931672,150,2925.363591
-4.416296,32,2926.240086
-3.852469,28,2926.980091
-6.498184,41,2928.064093
-5.009926,33,2928.926772
